characteristic,bin,count,count_pct,event_rate,woe,coefficient,points
inq_last_6mths,"[0.50, 1.50)",51883,0.28182884830575683,0.1394098259545516,-0.0639200568936682,-0.7805880459534154,44
inq_last_6mths,"[1.50, 2.50)",21772,0.11826566862581073,0.16231857431563476,-0.2430435207350634,-0.7805880459534154,40
inq_last_6mths,"[2.50, inf)",13060,0.0709420187512901,0.1723583460949464,-0.3151159178395617,-0.7805880459534154,38
revol_util,"(-inf, 21.05)",14559,0.07908459808576053,0.09567964832749502,0.36205757789898385,-0.16582543349141773,47
revol_util,"[21.05, 37.25)",28212,0.15324779732093388,0.11534098964979442,0.15318892693978414,-0.16582543349141773,46
revol_util,"[37.25, 43.05)",13799,0.0749562723391311,0.12312486412058844,0.079045133563868,-0.16582543349141773,46
revol_util,"[43.05, 50.55)",19757,0.10732017338968136,0.1301817077491522,0.015232627577391744,-0.16582543349141773,45
revol_util,"[50.55, 63.15)",35467,0.19265701217856096,0.1350551216623904,-0.027137699626285983,-0.16582543349141773,45
revol_util,"[63.15, 73.25)",26715,0.14511608200158616,0.14003368893879842,-0.069110289991829,-0.16582543349141773,45
revol_util,"[73.25, 86.75)",28373,0.15412235053831194,0.1443625982448102,-0.10460196401326916,-0.16582543349141773,45
revol_util,"[86.75, inf)",17123,0.09301226547307354,0.15949307948373534,-0.22211582219236847,-0.16582543349141773,44
revol_util,Missing,89,0.00048344867296055277,0.10112359550561797,0.3006815809886296,-0.16582543349141773,47
